P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3	F1_1	F1_2	F1_3
Argk	1953.68530290104	2242.77630796963	2085.78686207573	3068.1266466048	3103.93817929542	3141.8053880682	2048.66621258163	2149.66418755154	1997.29312512497	1826.03094821206	1974.2634770947	1933.52967183865	2397.5614578412	2487.18420977965	2460.44197439953
arr	308.019962633546	271.082816622706	193.415839528488	265.088651981703	263.752788159044	304.669686169775	158.166022100979	269.764794362027	189.544814990613	257.699605678412	302.106117382509	266.972716195295	255.863196400925	276.598361972545	277.034497117504
asp	5.06136088834465	0.66769166655839	0	0	0	0	1.66490549579978	0	0.707256772353034	0	0	0	0	0	0
aub	0	0	1.19392493536104	1.56857190521718	1.49012874666127	0	14.984149462198	8.45416734467891	18.3886760811789	101.182667260235	78.5475905194523	90.6089218602213	50.0936980905425	38.8851808608618	43.8246662106786
aurA	4.33830933286684	4.00614999935034	7.16354961216622	0	0	3.2240178430664	0.83245274789989	0	0	0	0	0	0	0	1.56516665038138
awd	1127.96042654538	1041.59899983109	1365.25316358535	2398.34644307706	2399.10728212464	2563.09418523779	698.427855488008	338.166693787156	625.214986760082	1726.42926012777	1723.51539966721	1946.47380353297	2019.93204146634	2018.36099147605	2185.75522725759
b	18.799340442423	40.7291916600618	26.8633110456233	4.70571571565153	8.9407724799676	9.67205352919919	5.82716923529923	1.53712133539617	1.41451354470607	1.58097917594118	1.51053058691255	0	3.08268911326415	5.13577860426476	4.69549995114413
Dll	0	0	0	0	0	0	0	0	1.41451354470607	0	0	0	0	0	0
bam	0	0	0	0	0	0	0	0	0	9.48587505564707	1.51053058691255	0	4.62403366989623	0.733682657752109	0
bib	1.44610311095561	0.66769166655839	0.596962467680518	0	0	0	0	0	0	0	0	0	0	0	0
bic	5592.80378162084	5805.5790407252	6129.01365567588	6925.24496153384	6802.43772850868	6562.48831956165	5951.20469473631	5792.64175244045	5489.0198102319	9452.67449295231	9255.02090601316	9172.53532188562	8010.3676608169	7844.53497668555	7622.36158735731
BicC	2.16915466643342	6.00922499902551	1.79088740304155	0	0	0	3.32981099159956	0	0.707256772353034	0	0	0	0	0	0
BicD	1421.51935806937	1282.63569145867	1189.14923561959	967.808865518999	1059.48153887616	967.205352919919	1525.0534341526	1464.10807196485	1401.78292280371	1075.06583964	1175.19279661796	1161.73581956498	999.561944975902	1092.45347739289	1031.44482260133
boss	0.723051555477807	2.67076666623356	0	4.70571571565153	2.98025749332253	0	2.49735824369967	0	0	0	0	1.61801646178967	2.31201683494811	1.46736531550422	0.782583325190689
brm	462.752995505797	495.427216586325	415.485877505641	473.708715375588	451.509010238364	435.242408813964	479.492782790337	568.734894096581	497.908767736536	580.219357570413	613.275418286493	453.044609301107	515.57975419343	520.181004346245	430.420828854879
Brd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsg25A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsg25D	1295.70838741623	1322.69719145217	1181.38872353975	978.788868855519	1123.5570749826	1001.05754027212	928.184813908377	1125.94137817769	937.822480140123	910.644005342119	956.165861515641	786.356000429778	924.806733979246	1017.61784630218	866.319740986092
bsk	40.4908871067572	63.4307083230471	57.9053593650103	40.7828695356466	93.8781110396598	41.9122319598632	62.4339560924917	69.9390207605255	91.9433804058944	58.4962295098236	36.2527340859011	61.4846255480073	48.5523535339104	63.8303912244335	50.0853328122041
bur	777.280422138643	683.048574889233	720.533698490386	806.245959281629	904.508149223389	809.228478609666	749.207473109901	880.770525182003	760.301030279512	801.556442202178	876.107740409276	859.166741210313	786.856396160675	870.881314751753	808.408574921981
by	1127.2373749899	1014.22364150219	888.877114376292	1604.64905903717	1853.72016084662	1892.49847387998	1204.55912621114	1628.58005485224	1038.96019858661	2145.38874175218	2441.01742845067	2577.50022363094	1834.20002239217	2098.33240117103	2165.40806080264
c(3)G	26.7529075526789	30.0461249951276	22.6845737718597	28.2342942939092	28.3124461865641	46.7482587244628	19.9788659495974	16.1397740216597	35.3628386176517	18.9717501112941	25.6790199775133	19.416197541476	23.1201683494812	26.4125756790759	32.0859163328182
