P_mel_1	P_mel_2	P_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_1	F1_2	F1_3
dsh	235.036072449882	254.6146492413	219.43990344225	310.690176024626	365.489879443092	286.459676043597	269.606326586679	249.78472518736	280.698903655951
dwg	175.507285541178	208.746569047095	180.162722281381	222.567144279459	204.244344394669	230.309772765948	285.160537735911	318.085235980779	309.736721275532
dx	345.882779107468	333.245643859936	280.917230476655	236.124533778715	258.970101744437	231.261466041841	227.09148277878	261.493384180518	218.321369510184
eag	22.5798846895083	34.6350809629709	28.1771082241022	2.25956491654273	0.97724566696014	5.71015965535409	0	0.975721582763125	3.22642417995345
eas	1348.63493100063	1302.09182755385	1429.34785354991	516.310583430014	486.66834214615	552.933793293455	509.141178284845	537.622592102482	602.265846924645
exd	1616.5144720898	1468.71464948382	1297.00083007307	2941.95352133864	2575.04233243997	2863.64506716008	2038.63860795928	2130.0002151719	2104.7040400563
e(y)1	258.642315534367	266.783731741803	291.163451649056	384.126035812264	295.128191421962	371.160377598016	263.384642126987	256.614776266702	279.623428929299
e(y)2	204.245320600552	156.325905968004	267.255602246787	157.03976169972	94.7928296951336	133.237058624929	164.874638181854	132.698135255785	181.755228804045
Fas2	861.114693386247	709.551118106269	686.496818550853	399.942990228063	614.687524517928	433.020440531019	434.480964768533	482.982183467747	409.755870854089
Fcp3C	11.2899423447541	14.9773323083117	13.6616282298677	12.427607040985	3.90898266784056	15.2270924142776	6.2216844596926	4.87860791381563	3.22642417995345
Actn	346.909137502445	465.233384826934	396.187218666164	440.615158725833	638.141420524972	488.218650532775	460.404650017253	442.001876991696	406.529446674135
fliI	944.249723379437	776.949113493672	747.974145585258	503.882976389029	538.462362495037	483.460184153313	393.003068370583	398.094405767355	408.680396127438
flw	1234.70914915811	1053.09367792817	881.175020826468	1250.6691813064	1234.26127737066	1248.62157797076	1133.383519074	1093.78389427746	1144.30510915683
fog	366.409947007021	425.917887517615	457.664545700569	128.795200242936	270.697049747959	143.705684659745	223.980640548934	224.415964035519	221.547793690137
gd	0	1.87216653853897	0	5.64891229135683	2.93173700088042	1.9033865517847	67.4015816466699	23.417317986315	11.8302219931627
fs(1)K10	325.355611207915	337.926060206284	330.440632809926	448.523635933732	432.919830463342	512.010982430084	398.187805420327	397.118684184592	412.982295034042
png	5.13179197488824	1.87216653853897	0	7.90847720789956	3.90898266784056	9.51693275892349	2.07389481989753	3.9028863310525	7.52832308655806
fs(1)Ya	22.5798846895083	34.6350809629709	42.6925882183367	224.826709196002	205.221590061629	212.227600523994	221.906745729036	208.804418711309	218.321369510184
fs(1)Yb	2.0527167899553	4.68041634634742	4.26925882183366	33.893473748141	42.021563679286	20.9372520696317	15.5542111492315	9.75721582763125	12.9056967198138
fu	67.7396540685248	80.5031611571756	82.8236211435731	119.756940576765	168.086254717144	102.782873796374	133.766215883391	105.377930938418	139.81171446465
fw	1.02635839497765	1.87216653853897	0.853851764366733	4.51912983308546	2.93173700088042	2.85507982767705	1.03694740994877	0.975721582763125	4.30189890660461
g	690.739199819958	644.961372526675	664.296672677318	630.418611715422	799.386955573395	735.658902264786	728.974029193983	728.864022324055	664.643381070412
Gbeta13F	1175.18036224941	1068.07101023648	968.267900791875	984.04052115436	1113.0828146676	932.659410374502	876.220561406708	839.120561176288	834.568387881294
Gs2	999.67307670823	1460.2899000604	1876.76617807808	997.597910653616	1156.08162401385	999.277939686966	1233.96741783903	1357.22872162351	1200.22979494269
Hex-A	1278.84256014215	1388.21148832665	1416.54007708441	1536.50414324906	1942.76438591676	1603.60316987861	1166.56583619236	1280.14671658522	1356.1736303071
hfw	1257.28903384762	1245.92683139768	1170.63076894679	1198.69918822592	1265.53313871338	1238.15295193595	1545.05164082366	1581.64468565903	1599.23091853026
Hmr	163.190984801446	174.111488084124	102.462211724008	122.016505493308	124.110199703938	97.0727141410196	118.212004734159	149.285402162758	133.358866104743
Hsc70-3	59642.7126905461	54685.9845907233	51656.3240406586	48852.9232781121	44870.2347984748	44706.743328319	27174.2438251174	24423.2869381438	19566.1117019644
if	576.813417977439	717.975867529694	652.342747976184	464.340590349531	987.995369296702	599.56676381218	614.909814099619	587.384392823402	528.058090785715
kz	119.057573817407	201.257902892939	223.709162264084	180.765193323419	142.677867376181	173.208176212407	202.20474494001	169.775555400784	180.679754077393
Mybbp1A	184.744511095977	300.482729435504	345.809964568527	601.044267800367	513.053975154074	600.518457088072	582.764444391207	531.768262605903	605.492271104598
egh	1514.90499098701	1433.14348525158	1187.70780423413	1470.97676066932	1656.43140549744	1655.94630005269	1595.86206391115	1687.02261659744	1446.5135073458
l(1)10Bb	156.006476036603	145.09290673677	193.824350511248	210.139537238474	127.041936704818	170.35309638473	145.172637392827	147.333958997232	194.660925523858
Hlc	2325.72812301935	2173.58535124374	2724.64098009425	885.749447284751	1116.99179733544	773.72663330048	2434.75251855971	2496.87153029084	2851.0835003522
Grip91	101.609481102787	93.6083269269484	116.977691718242	88.1230317451665	79.1568990237714	105.637953624051	105.768635814774	81.9606129521026	81.7360792254875
dlg1	1298.34336964673	1199.12266793421	1117.69195955605	1211.1267952669	1535.25294279438	1365.67985090552	1294.11036761606	1252.82651226785	1150.75795751673
l(1)sc	0	0	0	0	0	0	0	0	0
Lsp1alpha	2.0527167899553	0	0	4.51912983308546	9.7724566696014	2.85507982767705	4.14778963979507	6.83005107934188	3.22642417995345
