P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3
FBgn0000547	2258	1964	1710	997	1082	786	995	1400	1202	802	784	610
FBgn0000551	0	1	1	0	0	1	3	1	2	1	0	0
FBgn0000552	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000557	9	18	2	23	24	22	15	66	16	16	21	21
FBgn0000559	107839.592	118819.027	122438.21	46848.149	47989.993	44413.931	60617.564	78578.396	70616.197	51386.092	53404.214	48681.958
FBgn0000560	0	0	0	0	0	0	0	0	0	5	0	0
FBgn0000562	1003	912	885	577	608	537	650	920	850	432	508	434
FBgn0000564	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000565	486	527	538.999	535	701.131	682.001	322	242.999	353.999	162	212	217
FBgn0000566	2558	3080	3190.005	1163	954	895	2268	1735	2439	955	928.879	838
FBgn0000567	423	392	358	193	233	185	239	294	339	205	204	180
FBgn0000575	397	393	407	147	161	154	278	321	368	129	159	123
FBgn0000576	0	1	0	0	0	3	1	0	3	1	0	1
FBgn0000577	2	0	0	0	0	0	4	2	2	0	0	1
FBgn0000578	131	101	146	109	116	90	139	201.999	149	53	73	80
FBgn0000579	6928.419	7808.499	9239.308	3707.748	3865.709	3700.454	5100.112	5610.007	5748.575	2470	2546	2427
FBgn0000581	1224	1331	1378	710.001	701	515	513	978	865	535	573	388
FBgn0000588	12	5	16	10	12	7	112	172	162	69	49	35
FBgn0000591	0	0	0	0	0	0	2	0	1	0	0	0
FBgn0000606	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000611	1575.406	1568.999	1519	1	4	0	2604	2635.13	3008.823	1965	2179	1957
FBgn0000615	24	22	22	0	2	0	46	0	6	0	0	3
FBgn0000617	252	285	341	0	0	0	340	302	390	254	263	260
FBgn0000618	199	167	313	0	0	0	139	97	140	159	136	169
FBgn0000625	634	1148.001	1019	177	216	148	365	538	541	154	190	126
FBgn0000629	359	347	431	169	176	187	343	334	373	158	138	154
FBgn0000633	2	6	14	10	4	3	3	6	2	2	2	4
FBgn0000635	839	758	804	0	0	0	354	629	455	419	495	381
FBgn0000636	500	564	478	283	266	272.001	719	919.012	790	235.999	244	270
FBgn0000639	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000640	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000644	11	16	16	0	0	0	11	4	16	6	5	3
FBgn0000658	0	0	0	1	0	0	2	2	0	2	0	0
FBgn0000659	0	0	0	0	0	0	7	0	0	0	0	0
FBgn0000662	563	699	756.088	239	264	221	489	633	564	199	269	207
FBgn0000667	337.638	496.838	463.672	1	3	4	389.727	652.726	513.136	443	450	374.007
FBgn0000709	920	830	876	0	0	1	446	551	508	379	408	379
FBgn0000711	1203	1125	1032	0	3	3	1107	1263	1311.743	1093	1118	1061
FBgn0000715	0	0	0	0	1	0	0	0	0	0	0	0
FBgn0000719	356.897	455	536.001	0	0	0	114	277	151	216	230.001	206
